FECHA;ESTACION;PROVINCIA;ALTITUD;TEMP_MEDIA;PREC;TEMP_MIN;HORA_TEMP_MIN;TEMP_MAX;HORA_TEMP_MAX;DIR_VIENTO;VELOCMED_VIENTO;RACHA;HORA_RACHA;SOL;PRES_MAX;HORA_PRES_MAX;PRES_MIN;HORA_PRES_MIN
01/01/2018;MADRID, RETIRO;MADRID;667;7,6;0;3,6;08:00;11,6;13:50;27;3,1;10;00:10;0;954,3;11;950,7;16
02/01/2018;MADRID, RETIRO;MADRID;667;10,4;0;7,5;04:10;13,4;13:30;29;2,5;11,4;02:50;0;954,3;Varias;952,2;Varias
03/01/2018;MADRID, RETIRO;MADRID;667;10,6;0;7,6;02:15;13,5;14:10;22;1,7;8,6;03:40;0;955,4;11;952,3;24
04/01/2018;MADRID, RETIRO;MADRID;667;10,8;0;7,8;Varias;13,7;13:20;99;2,2;7,8;Varias;0;953,3;00;943,7;24
05/01/2018;MADRID, RETIRO;MADRID;667;8,6;14,1;5,8;23:59;11,5;13:50;22;3,1;11,7;07:50;0;943,7;00;926,1;24
06/01/2018;MADRID, RETIRO;MADRID;667;4;20,6;2;23:59;6,1;00:00;3;2,5;10,8;09:50;0;926,1;00;920;14
07/01/2018;MADRID, RETIRO;MADRID;667;3,3;3,1;1,6;23:59;5;13:40;12;2,8;7,5;11:50;0;929,5;23;919,5;05
08/01/2018;MADRID, RETIRO;MADRID;667;3,8;0;0,7;23:50;7;13:50;4;1,4;7,2;05:10;0;937,8;24;929,3;00
09/01/2018;MADRID, RETIRO;MADRID;667;1,6;2,3;-1,4;05:20;4,7;15:15;19;1,4;4,7;16:50;0;941,6;10;937,2;01
10/01/2018;MADRID, RETIRO;MADRID;667;5,1;0,8;3,2;00:30;7;16:00;23;2,2;9,4;15:20;0;943;24;939,5;05
11/01/2018;MADRID, RETIRO;MADRID;667;5,8;0;2,9;08:10;8,8;14:40;30;3,3;12,8;11:40;0;946,6;24;942,6;05
12/01/2018;MADRID, RETIRO;MADRID;667;3,8;0;-0,3;07:40;7,9;16:10;28;1,7;6,4;00:20;0;947,8;10;944,3;24
13/01/2018;MADRID, RETIRO;MADRID;667;4;6;2,4;04:20;5,6;12:10;26;1,1;7,2;21:20;0;944,5;00;939;17
14/01/2018;MADRID, RETIRO;MADRID;667;4,6;0;2,5;02:20;6,7;14:50;3;1,7;6,1;20:50;0;944,4;24;939,8;06
15/01/2018;MADRID, RETIRO;MADRID;667;4,2;0;0;07:30;8,5;15:00;22;1,1;6,4;15:40;0;949,9;24;944,4;00
16/01/2018;MADRID, RETIRO;MADRID;667;7,2;0;2;07:30;12,5;16:30;26;1,1;6,4;22:10;0;951,2;Varias;947,8;18
17/01/2018;MADRID, RETIRO;MADRID;667;9;0;4,8;08:30;13,2;14:40;30;2,2;8,6;01:00;0;948,8;Varias;945,9;06
18/01/2018;MADRID, RETIRO;MADRID;667;7,8;0;2,7;08:00;12,8;16:10;3;1,4;5,3;08:50;0;948,4;00;943,1;24
19/01/2018;MADRID, RETIRO;MADRID;667;8,9;0;3;07:30;14,8;15:30;4;1,4;5,3;08:50;0;947,4;24;942;Varias
20/01/2018;MADRID, RETIRO;MADRID;667;7,9;0;3,8;07:30;12;15:40;28;1,9;7,8;12:40;0;949,6;24;947,2;Varias
21/01/2018;MADRID, RETIRO;MADRID;667;11;0;5,8;07:10;16,2;15:30;33;1,1;8,3;03:40;0;951,8;11;949,6;00
22/01/2018;MADRID, RETIRO;MADRID;667;9,7;0;5,3;07:40;14,1;15:50;99;0,6;5,8;Varias;0;951,2;00;948,9;Varias
