hour,sumnumhi,sumnumlow,sumnumtotal,percentage
0,5,12,350,95.143
1,11,11,352,93.75
2,5,10,351,95.726
3,8,7,352,95.739
4,8,6,352,96.023
5,9,9,352,94.886
6,4,13,353,95.184
7,3,13,353,95.467
8,2,22,353,93.201
9,2,21,353,93.484
10,4,15,353,94.618
11,4,17,352,94.034
12,7,16,353,93.484
13,8,12,352,94.318
14,4,16,352,94.318
15,8,17,353,92.918
16,2,13,352,95.739
17,5,13,353,94.901
18,4,15,353,94.618
19,3,14,352,95.17
20,7,12,353,94.618
21,1,8,352,97.443
22,5,10,353,95.751
23,4,10,352,96.023
